                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.81859,                0.72708,                 1.7684,                0.92553,                0.85724,                0.90921,                0.70392,                0.89635,                0.96213,                 1.8017,             0.00038771,             0.00038771,             0.00038771
                     59,                0.87775,                0.74743,                 1.9026,                0.92136,                0.86207,                0.90855,                0.70843,                0.92929,                0.95981,                 1.8154,             0.00035943,             0.00035943,             0.00035943
                     60,                0.85544,                0.71363,                 1.8658,                0.92386,                0.83703,                0.91168,                0.70113,                0.94928,                0.99535,                 1.8572,             0.00033114,             0.00033114,             0.00033114
                     61,                0.73226,                0.61869,                 1.9309,                0.93902,                 0.7931,                0.90882,                0.67996,                0.96615,                 1.0589,                 1.8741,             0.00030286,             0.00030286,             0.00030286
                     62,                 0.7416,                0.58133,                 1.8107,                0.89229,                 0.7931,                0.89304,                 0.6856,                 0.9643,                 1.0823,                 1.8553,             0.00027457,             0.00027457,             0.00027457
                     63,                0.70168,                0.54484,                 1.7195,                 0.8948,                 0.7931,                0.89163,                0.68944,                0.97671,                  1.111,                 1.8441,             0.00024629,             0.00024629,             0.00024629
                     64,                0.67291,                0.52311,                 1.7726,                0.95615,                0.75205,                0.88171,                0.68456,                0.96828,                  1.109,                 1.8375,               0.000218,               0.000218,               0.000218
                     65,                 0.6589,                0.53883,                 1.6642,                0.95717,                0.77093,                 0.8764,                0.69274,                0.94277,                 1.0598,                 1.8198,             0.00018971,             0.00018971,             0.00018971
                     66,                0.68176,                0.52649,                 1.7072,                0.95626,                0.75404,                0.89972,                0.71301,                0.89833,                0.99427,                 1.7962,             0.00016143,             0.00016143,             0.00016143
                     67,                0.60263,                0.49395,                 1.7047,                0.95572,                 0.7447,                 0.9047,                0.71409,                0.88857,                0.98144,                 1.7809,             0.00013314,             0.00013314,             0.00013314
                     68,                0.64892,                0.50884,                 1.6315,                 0.9176,                0.76823,                0.90787,                0.70569,                0.88981,                0.97894,                 1.7691,             0.00010486,             0.00010486,             0.00010486
                     69,                0.63302,                0.52365,                  1.843,                0.94155,                0.75862,                0.91136,                0.68917,                0.90125,                0.98376,                 1.7669,             7.6571e-05,             7.6571e-05,             7.6571e-05
                     70,                0.64121,                0.52863,                  1.755,                0.95648,                0.75797,                0.90773,                0.68474,                0.90521,                0.98943,                 1.7618,             4.8286e-05,             4.8286e-05,             4.8286e-05
