                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0123,                0.82834,                 1.9755,                0.78902,                0.94118,                0.90385,                0.70817,                0.85208,                0.74539,                   1.59,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98706,                0.83881,                 1.9678,                0.79886,                0.93481,                0.91418,                0.75429,                0.80903,                0.73457,                 1.5611,              0.0008714,              0.0008714,              0.0008714
                     59,                0.98983,                0.87245,                 1.9411,                0.73407,                      1,                0.90856,                0.74814,                0.81924,                0.73667,                 1.5239,              0.0008516,              0.0008516,              0.0008516
                     60,                0.98243,                0.81406,                 1.9468,                0.75662,                0.91504,                0.89149,                0.74802,                0.83028,                0.76665,                 1.5101,              0.0008318,              0.0008318,              0.0008318
                     61,                0.97837,                  0.812,                 1.9088,                0.79264,                0.90004,                0.92496,                0.74952,                0.73492,                0.70917,                 1.4844,               0.000812,               0.000812,               0.000812
                     62,                0.96415,                0.82085,                 1.9011,                0.84016,                0.92816,                0.91812,                0.74883,                0.76521,                0.73221,                 1.5274,              0.0007922,              0.0007922,              0.0007922
                     63,                0.99232,                 0.8393,                      2,                0.84062,                0.93124,                0.87844,                0.72056,                0.75718,                 0.7477,                 1.5058,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0317,                 0.8527,                 1.9862,                0.72181,                      1,                0.85624,                0.69655,                0.77732,                0.71565,                 1.5375,              0.0007526,              0.0007526,              0.0007526
                     65,                0.93712,                0.81426,                 1.9658,                0.68645,                0.94118,                0.89397,                0.75785,                 0.7643,                0.71135,                 1.5732,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96708,                0.80783,                 2.0262,                0.70517,                      1,                0.90957,                  0.766,                0.75666,                0.72348,                 1.5636,               0.000713,               0.000713,               0.000713
                     67,                0.94398,                0.79047,                  1.919,                 0.6924,                      1,                0.91172,                0.75879,                0.77165,                0.72173,                 1.5761,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96252,                 0.8368,                 1.9279,                0.72391,                      1,                 0.9013,                0.72568,                0.77695,                0.73875,                 1.5469,              0.0006734,              0.0006734,              0.0006734
                     69,                0.99023,                0.82306,                 2.0151,                0.76884,                0.97886,                0.87989,                0.70748,                0.78523,                0.78073,                 1.5027,              0.0006536,              0.0006536,              0.0006536
                     70,                0.96194,                 0.8136,                 1.9557,                0.76762,                0.94118,                0.86611,                0.69934,                0.80663,                 0.7364,                 1.5731,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87481,                0.75461,                 1.8985,                 0.7471,                 0.8694,                0.83528,                0.66647,                0.81901,                 0.7915,                 1.6008,               0.000614,               0.000614,               0.000614
                     72,                0.95597,                0.79245,                 1.9065,                0.74051,                0.88235,                0.85871,                  0.687,                0.80704,                0.80484,                 1.5852,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92613,                0.76561,                 1.9321,                0.73718,                0.99033,                0.86881,                0.71213,                 0.8023,                 0.7578,                  1.552,              0.0005744,              0.0005744,              0.0005744
                     74,                0.92216,                0.75391,                 1.9636,                0.76095,                      1,                0.88203,                0.72749,                0.80479,                0.77774,                 1.5607,              0.0005546,              0.0005546,              0.0005546
                     75,                0.87844,                0.69678,                 1.8771,                0.75411,                0.94118,                0.86856,                0.71186,                0.77758,                0.75823,                 1.5571,              0.0005348,              0.0005348,              0.0005348
                     76,                0.92112,                0.75478,                 1.8929,                0.76633,                      1,                  0.905,                0.70896,                 0.8382,                0.72164,                 1.5276,               0.000515,               0.000515,               0.000515
                     77,                  0.875,                0.71991,                 1.8824,                0.79306,                      1,                0.89273,                0.72679,                 0.7932,                0.75935,                 1.5596,              0.0004952,              0.0004952,              0.0004952
                     78,                0.89309,                0.71603,                 1.8875,                0.73439,                0.97648,                0.90054,                0.71711,                0.81729,                 0.7914,                 1.5686,              0.0004754,              0.0004754,              0.0004754
                     79,                0.88741,                0.75206,                 1.9058,                0.74654,                      1,                0.89974,                0.73417,                0.85235,                0.73225,                 1.5657,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.9194,                0.79239,                 1.9145,                 0.7707,                      1,                0.89065,                0.72857,                0.80614,                0.71939,                 1.5659,              0.0004358,              0.0004358,              0.0004358
                     81,                0.89272,                 0.7534,                 1.8987,                0.76686,                0.96809,                0.89943,                0.74847,                0.75256,                0.74037,                 1.5451,               0.000416,               0.000416,               0.000416
                     82,                0.90463,                0.76211,                 1.8584,                0.77094,                0.99027,                0.91514,                0.75459,                0.75085,                0.68376,                 1.5649,              0.0003962,              0.0003962,              0.0003962
                     83,                0.89098,                0.74751,                 1.8636,                0.73748,                0.99181,                 0.9203,                0.75549,                0.76157,                0.71767,                  1.588,              0.0003764,              0.0003764,              0.0003764
                     84,                0.91338,                0.74942,                 2.0543,                0.72937,                0.88235,                0.90801,                0.74338,                0.79963,                0.75761,                 1.5795,              0.0003566,              0.0003566,              0.0003566
                     85,                0.91658,                0.77013,                 1.9107,                0.72804,                      1,                0.92196,                0.74399,                0.82644,                 0.7123,                 1.5672,              0.0003368,              0.0003368,              0.0003368
                     86,                0.89229,                0.73875,                 1.8815,                0.80589,                0.97754,                0.91744,                0.72235,                0.85861,                0.72601,                 1.5786,               0.000317,               0.000317,               0.000317
                     87,                0.87854,                0.71834,                 1.8243,                0.77563,                0.94118,                0.90496,                0.71804,                0.83525,                 0.7395,                   1.57,              0.0002972,              0.0002972,              0.0002972
                     88,                0.86892,                0.70061,                 1.8383,                0.78576,                0.94118,                0.91144,                0.73974,                0.76529,                0.75745,                 1.5041,              0.0002774,              0.0002774,              0.0002774
                     89,                0.87694,                0.69669,                 1.8877,                0.75168,                0.94118,                0.91876,                0.73965,                0.75278,                0.70213,                 1.5294,              0.0002576,              0.0002576,              0.0002576
                     90,                0.88139,                0.74302,                 1.8664,                0.73725,                0.99065,                0.92124,                0.75475,                0.76115,                0.68553,                 1.5579,              0.0002378,              0.0002378,              0.0002378
