                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0173,                0.78941,                  2.072,                0.79278,                 0.8508,                0.91134,                0.73885,                 0.8294,                0.73922,                 1.6529,               0.000922,               0.000922,               0.000922
                     51,                0.91541,                0.74341,                 2.0113,                0.79464,                0.83333,                0.92637,                0.77967,                 0.7948,                0.68373,                 1.5779,                 0.0009,                 0.0009,                 0.0009
                     52,                0.93936,                0.80986,                 2.1231,                0.80069,                0.77778,                0.87974,                0.72911,                0.78862,                0.78231,                 1.6584,               0.000878,               0.000878,               0.000878
                     53,                0.91972,                0.79127,                  2.005,                0.82236,                0.88889,                 0.9107,                0.76688,                0.84036,                0.76406,                 1.6378,               0.000856,               0.000856,               0.000856
                     54,                0.90784,                0.75795,                 2.0271,                0.68152,                      1,                0.86829,                0.69914,                0.85023,                0.77996,                 1.6669,               0.000834,               0.000834,               0.000834
                     55,                0.92542,                0.75808,                 2.0167,                0.76329,                0.94444,                0.88018,                0.71726,                0.80515,                0.77474,                 1.5709,               0.000812,               0.000812,               0.000812
                     56,                0.91425,                0.71765,                 2.0332,                0.80442,                0.94444,                0.90751,                 0.7303,                0.78274,                0.67612,                 1.5737,                0.00079,                0.00079,                0.00079
                     57,                0.90514,                0.73248,                 2.0039,                0.82449,                0.83333,                0.88052,                0.71162,                0.80558,                0.78755,                 1.5862,               0.000768,               0.000768,               0.000768
                     58,                0.88215,                0.74008,                   1.99,                0.81323,                0.83333,                0.88758,                 0.7071,                0.83093,                0.77948,                 1.6063,               0.000746,               0.000746,               0.000746
                     59,                    0.9,                0.75312,                 2.0162,                0.78104,                0.99116,                0.93038,                 0.7499,                0.77525,                0.73801,                 1.5724,               0.000724,               0.000724,               0.000724
                     60,                0.90537,                0.75326,                 1.9623,                0.81522,                      1,                0.93633,                0.76385,                0.81337,                0.70681,                 1.5782,               0.000702,               0.000702,               0.000702
                     61,                0.86228,                0.70858,                  1.964,                0.79889,                0.94444,                0.92499,                0.75877,                0.75079,                0.71768,                 1.5787,                0.00068,                0.00068,                0.00068
                     62,                0.88615,                0.72354,                 1.9092,                0.80604,                0.94444,                0.92846,                0.72326,                 0.8079,                  0.718,                 1.5861,               0.000658,               0.000658,               0.000658
